,Title,As of,Rank,Year to Date Rank,Last Week Rank,Title.1,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,year,Viewership Score
188,Patriots Day,2020-07-09,9,6,3,Patriots Day,Movie,No,2020-07-01,8,2020,33.5
189,Peppermint,2020-12-09,9,4,6,Peppermint,Movie,No,2020-12-01,8,2020,32.125
190,Peter Rabbit 2,2021-12-13,8,8,-,Peter Rabbit 2,Movie,No,2021-12-09,4,2021,13.75
191,Pets United,2020-09-20,10,10,2,Pets United,Movie,Yes,2020-09-11,9,2020,36.44444444444444
192,Pieces of a Woman,2021-01-11,7,6,-,Pieces of a Woman,Movie,Yes,2021-01-07,4,2021,16.5
193,Prey,2021-09-16,8,5,-,Prey,Movie,Yes,2021-09-10,5,2021,15.4
194,Project Power,2020-08-31,7,8,2,Project Power,Movie,Yes,2020-08-14,17,2020,82.23529411764706
195,Public Enemies,2020-05-22,10,10,-,Public Enemies,Movie,No,2020-05-16,6,2020,14.333333333333334
196,Puss in Boots,2020-09-08,10,10,-,Puss in Boots,Movie,No,2020-09-01,2,2020,1.5
197,Quantum of Solace,2020-09-02,6,9,-,Quantum of Solace,Movie,No,2020-08-31,2,2020,4.5
198,Rango,2021-01-01,8,-,-,Rango,Movie,No,2020-12-28,1,2021,3.0
199,Real Steel,2020-10-01,6,4,-,Real Steel,Movie,No,2020-09-24,7,2020,31.285714285714285
200,Rebecca,2020-10-27,9,7,-,Rebecca,Movie,Yes,2020-10-21,6,2020,22.833333333333332
201,Red Dot,2021-02-16,8,7,-,Red Dot,Movie,Yes,2021-02-11,5,2021,8.8
202,Red Notice,2021-12-12,9,10,9,Red Notice,Movie,Yes,2021-11-12,23,2021,104.6086956521739
203,Replicas,2021-11-04,10,9,-,Replicas,Movie,No,2021-11-01,2,2021,2.5
204,Resort to Love,2021-08-04,9,5,-,Resort to Love,Movie,Yes,2021-07-29,6,2021,24.0
205,Restless,2022-03-02,10,5,-,Restless,Movie,Yes,2022-02-25,4,2022,12.75
206,Rogue City,2020-11-05,9,4,-,Rogue City,Movie,Yes,2020-10-30,6,2020,21.166666666666668
207,Rogue Warfare: The Hunt,2020-08-04,9,3,-,Rogue Warfare: The Hunt,Movie,No,2020-08-01,2,2020,9.0
208,Rust Creek,2020-12-04,9,4,-,Rust Creek,Movie,No,2020-11-30,3,2020,6.333333333333333
209,SAS: Red Notice,2021-09-03,9,5,-,SAS: Red Notice,Movie,No,2021-08-27,7,2021,30.142857142857142
210,Sabotage,2021-05-27,10,10,-,Sabotage,Movie,No,2021-05-19,7,2021,16.142857142857142
211,Safe House,2021-09-30,8,-,5,Safe House,Movie,No,2021-09-16,9,2021,38.0
212,Salt,2020-04-03,9,-,-,Salt,Movie,No,2020-04-01,1,2020,2.0
213,Savages,2021-03-28,8,-,3,Savages,Movie,No,2021-03-16,10,2021,36.8
214,Saving Private Ryan,2021-04-09,8,6,-,Saving Private Ryan,Movie,No,2021-04-01,4,2021,7.5
215,Scary Stories to Tell in th…,2022-01-03,10,-,-,Scary Stories to Tell in th…,Movie,No,2022-01-01,1,2022,1.0
216,Seaspiracy,2021-04-02,10,8,10,Seaspiracy,Movie,Yes,2021-03-24,8,2021,14.75
217,Secret Magic Control Agency,2021-04-03,10,7,6,Secret Magic Control Agency,Movie,Yes,2021-03-25,8,2021,28.25
218,Secrets of the Saqqara Tomb,2020-11-03,10,5,-,Secrets of the Saqqara Tomb,Movie,Yes,2020-10-28,5,2020,14.6
219,Sentinelle,2021-03-09,5,3,-,Sentinelle,Movie,Yes,2021-03-05,4,2021,19.5
220,Shooter,2022-03-11,8,8,-,Shooter,Movie,No,2014-08-01,3,2022,4.0
221,Shrek,2022-03-11,10,10,-,Shrek,Movie,No,2018-05-01,7,2022,7.0
222,Shrek 2,2022-03-11,9,9,7,Shrek 2,Movie,No,2022-03-01,10,2022,20.2
223,Single All the Way,2021-12-07,10,7,-,Single All the Way,Movie,Yes,2021-12-02,5,2021,11.0
224,Single all the Way,2021-12-04,10,7,-,Single all the Way,Movie,Yes,2021-12-02,2,2021,4.5
225,Skylines,2021-03-23,10,7,-,Skylines,Movie,No,2021-03-18,4,2021,5.75
226,Sleepless,2020-05-14,8,4,-,Sleepless,Movie,No,2020-05-09,6,2020,22.666666666666668
227,Sniper: Ghost Shooter,2021-04-14,10,10,7,Sniper: Ghost Shooter,Movie,No,2021-04-01,9,2021,12.666666666666666
228,Snowden,2020-11-06,9,6,-,Snowden,Movie,No,2020-11-01,3,2020,7.0
229,Soul Surfer,2020-05-22,9,9,-,Soul Surfer,Movie,No,2020-05-17,5,2020,11.8
230,Space Sweepers,2021-02-08,8,-,-,Space Sweepers,Movie,Yes,2021-02-05,1,2021,3.0
231,Squared Love,2021-02-15,8,9,-,Squared Love,Movie,Yes,2021-02-11,4,2021,8.25
232,St. Vincent,2022-02-23,10,10,10,St. Vincent,Movie,No,2016-08-10,6,2022,7.166666666666667
233,Step Up Revolution,2021-03-03,10,-,-,Step Up Revolution,Movie,No,2021-03-01,1,2021,1.0
234,Stowaway,2021-05-01,7,6,2,Stowaway,Movie,Yes,2021-04-22,9,2021,42.22222222222222
235,Sweet Girl,2021-09-01,7,7,1,Sweet Girl,Movie,Yes,2021-08-20,12,2021,59.333333333333336
